query,style,event,budget
recommend casual outfit for office in green high end,casual,office,high
recommend ethnic outfit for beach in red under 3000,ethnic,beach,low
"looking for smart casual wear for travel, high end",smart_casual,travel,high
need a smart casual shirt suitable for travel and under 15000,smart_casual,travel,high
show me black heels in casual style for wedding under 7000,casual,wedding,mid
show me pink heels in streetwear style for office under 15000,streetwear,office,high
show me pink heels in ethnic style for party budget friendly,ethnic,party,low
find green kurta for party with a mid budget and minimal look,minimal,party,mid
find white dress for daily wear with a high budget and casual look,casual,daily_wear,high
need a boho dress suitable for date night and premium,boho,date_night,high
recommend athleisure outfit for gym in black luxury,athleisure,gym,high
find black blazer for travel with a mid budget and minimal look,minimal,travel,mid
need a minimal kurta suitable for gym and mid range,minimal,gym,mid
recommend minimal outfit for office in blue under 7000,minimal,office,mid
need a ethnic blazer suitable for date night and quality for price,ethnic,date_night,mid
need a boho dress suitable for wedding and below 2500,boho,wedding,low
find navy sneakers for daily wear with a low budget and minimal look,minimal,daily_wear,low
"looking for athleisure wear for travel, designer",athleisure,travel,high
"looking for streetwear wear for date night, around 6000",streetwear,date_night,mid
recommend streetwear outfit for gym in white below 2500,streetwear,gym,low
show me blue shirt in ethnic style for gym affordable,ethnic,gym,low
show me blue blazer in casual style for party under 7000,casual,party,mid
need a smart casual blazer suitable for party and under 15000,smart_casual,party,high
recommend athleisure outfit for travel in red high end,athleisure,travel,high
"looking for ethnic wear for gym, luxury",ethnic,gym,high
show me blue heels in minimal style for wedding designer,minimal,wedding,high
"looking for athleisure wear for beach, designer",athleisure,beach,high
"looking for formal wear for daily wear, under 3000",formal,daily_wear,low
find green shirt for gym with a mid budget and casual look,casual,gym,mid
recommend minimal outfit for travel in beige around 6000,minimal,travel,mid
find green kurta for travel with a mid budget and boho look,boho,travel,mid
recommend formal outfit for gym in navy luxury,formal,gym,high
"looking for minimal wear for party, cheap",minimal,party,low
show me red shirt in casual style for party cheap,casual,party,low
show me blue kurta in formal style for party cheap,formal,party,low
find beige shirt for wedding with a high budget and smart casual look,smart_casual,wedding,high
recommend smart casual outfit for party in pink below 2500,smart_casual,party,low
find navy shirt for gym with a low budget and formal look,formal,gym,low
show me navy jeans in ethnic style for party under 7000,ethnic,party,mid
recommend formal outfit for gym in red mid range,formal,gym,mid
need a athleisure jacket suitable for daily wear and cheap,athleisure,daily_wear,low
need a athleisure jeans suitable for beach and quality for price,athleisure,beach,mid
show me green saree in minimal style for date night designer,minimal,date_night,high
need a casual dress suitable for office and cheap,casual,office,low
show me blue heels in casual style for party premium,casual,party,high
recommend athleisure outfit for travel in green quality for price,athleisure,travel,mid
"looking for minimal wear for daily wear, luxury",minimal,daily_wear,high
"looking for ethnic wear for daily wear, under 7000",ethnic,daily_wear,mid
find navy shirt for wedding with a low budget and casual look,casual,wedding,low
show me red kurta in formal style for wedding quality for price,formal,wedding,mid
recommend smart casual outfit for office in green mid range,smart_casual,office,mid
"looking for formal wear for travel, below 2500",formal,travel,low
need a athleisure blazer suitable for beach and under 3000,athleisure,beach,low
need a ethnic shirt suitable for date night and high end,ethnic,date_night,high
"looking for smart casual wear for beach, under 7000",smart_casual,beach,mid
recommend boho outfit for beach in black mid range,boho,beach,mid
show me red jeans in boho style for date night mid range,boho,date_night,mid
need a ethnic jacket suitable for office and designer,ethnic,office,high
need a boho shirt suitable for date night and affordable,boho,date_night,low
find blue kurta for office with a low budget and formal look,formal,office,low
need a minimal heels suitable for wedding and premium,minimal,wedding,high
show me beige dress in athleisure style for office high end,athleisure,office,high
recommend formal outfit for office in black around 6000,formal,office,mid
"looking for streetwear wear for daily wear, budget friendly",streetwear,daily_wear,low
show me blue saree in smart casual style for party quality for price,smart_casual,party,mid
recommend streetwear outfit for gym in red luxury,streetwear,gym,high
recommend streetwear outfit for office in beige high end,streetwear,office,high
show me navy sneakers in athleisure style for beach around 6000,athleisure,beach,mid
recommend ethnic outfit for date night in navy around 6000,ethnic,date_night,mid
find green saree for beach with a low budget and ethnic look,ethnic,beach,low
need a casual jeans suitable for wedding and under 15000,casual,wedding,high
find pink kurta for office with a low budget and smart casual look,smart_casual,office,low
show me blue sneakers in casual style for gym affordable,casual,gym,low
show me pink shirt in athleisure style for travel under 7000,athleisure,travel,mid
find beige jeans for daily wear with a mid budget and formal look,formal,daily_wear,mid
"looking for minimal wear for office, around 6000",minimal,office,mid
need a casual jeans suitable for wedding and mid range,casual,wedding,mid
show me blue saree in smart casual style for date night affordable,smart_casual,date_night,low
"looking for minimal wear for travel, premium",minimal,travel,high
show me pink dress in streetwear style for gym affordable,streetwear,gym,low
need a athleisure sneakers suitable for daily wear and around 6000,athleisure,daily_wear,mid
need a minimal heels suitable for daily wear and under 7000,minimal,daily_wear,mid
recommend ethnic outfit for daily wear in white cheap,ethnic,daily_wear,low
find white saree for office with a high budget and streetwear look,streetwear,office,high
"looking for minimal wear for office, affordable",minimal,office,low
recommend formal outfit for daily wear in navy cheap,formal,daily_wear,low
find green saree for party with a low budget and streetwear look,streetwear,party,low
show me black jeans in casual style for travel affordable,casual,travel,low
need a formal kurta suitable for gym and under 3000,formal,gym,low
show me green heels in boho style for date night below 2500,boho,date_night,low
"looking for minimal wear for beach, premium",minimal,beach,high
recommend casual outfit for gym in blue under 7000,casual,gym,mid
recommend minimal outfit for beach in navy affordable,minimal,beach,low
"looking for formal wear for party, below 2500",formal,party,low
need a formal jacket suitable for office and premium,formal,office,high
"looking for boho wear for travel, high end",boho,travel,high
find green saree for wedding with a high budget and smart casual look,smart_casual,wedding,high
recommend streetwear outfit for wedding in white cheap,streetwear,wedding,low
need a boho dress suitable for wedding and around 6000,boho,wedding,mid
need a athleisure kurta suitable for beach and under 3000,athleisure,beach,low
need a minimal saree suitable for date night and under 15000,minimal,date_night,high
need a casual blazer suitable for daily wear and cheap,casual,daily_wear,low
find beige dress for wedding with a low budget and casual look,casual,wedding,low
"looking for athleisure wear for wedding, cheap",athleisure,wedding,low
show me navy jacket in casual style for office mid range,casual,office,mid
"looking for casual wear for beach, mid range",casual,beach,mid
need a casual jeans suitable for office and under 7000,casual,office,mid
need a casual blazer suitable for daily wear and under 3000,casual,daily_wear,low
find navy kurta for office with a high budget and athleisure look,athleisure,office,high
recommend smart casual outfit for wedding in black budget friendly,smart_casual,wedding,low
need a minimal jacket suitable for date night and affordable,minimal,date_night,low
need a formal jacket suitable for daily wear and budget friendly,formal,daily_wear,low
need a athleisure jeans suitable for office and budget friendly,athleisure,office,low
need a boho shirt suitable for gym and under 3000,boho,gym,low
show me white sneakers in ethnic style for wedding below 2500,ethnic,wedding,low
find navy jacket for travel with a high budget and minimal look,minimal,travel,high
recommend casual outfit for party in pink designer,casual,party,high
find pink jacket for party with a low budget and formal look,formal,party,low
recommend minimal outfit for office in green designer,minimal,office,high
show me blue dress in ethnic style for beach under 7000,ethnic,beach,mid
"looking for formal wear for gym, under 15000",formal,gym,high
find pink kurta for travel with a high budget and athleisure look,athleisure,travel,high
show me navy jeans in athleisure style for date night cheap,athleisure,date_night,low
"looking for casual wear for travel, under 7000",casual,travel,mid
show me white kurta in streetwear style for daily wear high end,streetwear,daily_wear,high
recommend casual outfit for daily wear in white quality for price,casual,daily_wear,mid
"looking for casual wear for office, quality for price",casual,office,mid
"looking for boho wear for party, mid range",boho,party,mid
need a athleisure dress suitable for travel and under 7000,athleisure,travel,mid
show me blue saree in athleisure style for gym around 6000,athleisure,gym,mid
show me navy jeans in boho style for beach below 2500,boho,beach,low
show me red jeans in ethnic style for gym under 3000,ethnic,gym,low
recommend casual outfit for office in pink luxury,casual,office,high
"looking for athleisure wear for daily wear, under 3000",athleisure,daily_wear,low
show me pink shirt in formal style for beach under 7000,formal,beach,mid
find red blazer for date night with a high budget and formal look,formal,date_night,high
show me navy kurta in streetwear style for daily wear high end,streetwear,daily_wear,high
show me green heels in athleisure style for office high end,athleisure,office,high
show me red saree in athleisure style for daily wear under 7000,athleisure,daily_wear,mid
show me red jeans in casual style for travel under 15000,casual,travel,high
recommend formal outfit for party in white under 7000,formal,party,mid
need a formal sneakers suitable for gym and high end,formal,gym,high
show me green jeans in minimal style for wedding under 3000,minimal,wedding,low
find green jeans for party with a mid budget and ethnic look,ethnic,party,mid
"looking for casual wear for daily wear, mid range",casual,daily_wear,mid
show me blue jacket in minimal style for date night under 7000,minimal,date_night,mid
"looking for casual wear for wedding, under 7000",casual,wedding,mid
recommend boho outfit for wedding in navy high end,boho,wedding,high
"looking for casual wear for wedding, mid range",casual,wedding,mid
need a formal heels suitable for daily wear and quality for price,formal,daily_wear,mid
recommend ethnic outfit for party in blue around 6000,ethnic,party,mid
"looking for smart casual wear for office, below 2500",smart_casual,office,low
show me white heels in formal style for wedding high end,formal,wedding,high
"looking for athleisure wear for beach, designer",athleisure,beach,high
show me white saree in casual style for travel premium,casual,travel,high
find green dress for wedding with a low budget and smart casual look,smart_casual,wedding,low
need a casual blazer suitable for office and affordable,casual,office,low
need a smart casual shirt suitable for beach and below 2500,smart_casual,beach,low
recommend athleisure outfit for beach in blue under 7000,athleisure,beach,mid
need a ethnic saree suitable for office and mid range,ethnic,office,mid
need a minimal dress suitable for travel and around 6000,minimal,travel,mid
show me pink sneakers in smart casual style for date night under 3000,smart_casual,date_night,low
need a formal dress suitable for gym and cheap,formal,gym,low
"looking for minimal wear for daily wear, budget friendly",minimal,daily_wear,low
recommend athleisure outfit for beach in blue around 6000,athleisure,beach,mid
show me pink blazer in formal style for wedding quality for price,formal,wedding,mid
need a athleisure saree suitable for date night and under 15000,athleisure,date_night,high
find pink jacket for travel with a low budget and boho look,boho,travel,low
"looking for minimal wear for travel, around 6000",minimal,travel,mid
show me black dress in casual style for party quality for price,casual,party,mid
recommend minimal outfit for daily wear in blue around 6000,minimal,daily_wear,mid
find green dress for party with a mid budget and minimal look,minimal,party,mid
recommend boho outfit for beach in beige cheap,boho,beach,low
find blue sneakers for wedding with a mid budget and ethnic look,ethnic,wedding,mid
"looking for minimal wear for travel, premium",minimal,travel,high
need a smart casual kurta suitable for party and high end,smart_casual,party,high
need a smart casual saree suitable for party and budget friendly,smart_casual,party,low
"looking for ethnic wear for travel, premium",ethnic,travel,high
recommend minimal outfit for date night in pink under 15000,minimal,date_night,high
show me black shirt in casual style for gym below 2500,casual,gym,low
need a boho jeans suitable for gym and under 7000,boho,gym,mid
"looking for streetwear wear for office, budget friendly",streetwear,office,low
"looking for athleisure wear for office, under 3000",athleisure,office,low
need a athleisure jeans suitable for office and under 3000,athleisure,office,low
recommend formal outfit for daily wear in white premium,formal,daily_wear,high
need a casual sneakers suitable for office and under 3000,casual,office,low
find navy shirt for daily wear with a high budget and formal look,formal,daily_wear,high
"looking for casual wear for beach, designer",casual,beach,high
recommend casual outfit for travel in navy affordable,casual,travel,low
find white shirt for office with a high budget and ethnic look,ethnic,office,high
show me blue kurta in ethnic style for party under 7000,ethnic,party,mid
show me navy kurta in smart casual style for wedding high end,smart_casual,wedding,high
show me red dress in smart casual style for wedding quality for price,smart_casual,wedding,mid
need a athleisure dress suitable for beach and quality for price,athleisure,beach,mid
find green saree for party with a high budget and boho look,boho,party,high
find red heels for party with a mid budget and formal look,formal,party,mid
show me green blazer in athleisure style for beach affordable,athleisure,beach,low
need a ethnic kurta suitable for gym and under 7000,ethnic,gym,mid
need a minimal blazer suitable for travel and cheap,minimal,travel,low
"looking for boho wear for beach, quality for price",boho,beach,mid
find navy saree for daily wear with a mid budget and ethnic look,ethnic,daily_wear,mid
"looking for smart casual wear for gym, below 2500",smart_casual,gym,low
find black heels for wedding with a low budget and ethnic look,ethnic,wedding,low
show me black shirt in minimal style for wedding quality for price,minimal,wedding,mid
recommend streetwear outfit for party in green around 6000,streetwear,party,mid
need a streetwear kurta suitable for beach and high end,streetwear,beach,high
show me red shirt in minimal style for travel premium,minimal,travel,high
recommend minimal outfit for beach in white premium,minimal,beach,high
find beige shirt for office with a low budget and streetwear look,streetwear,office,low
find pink kurta for gym with a high budget and smart casual look,smart_casual,gym,high
"looking for streetwear wear for party, designer",streetwear,party,high
recommend formal outfit for beach in black under 3000,formal,beach,low
show me navy blazer in smart casual style for date night quality for price,smart_casual,date_night,mid
show me beige kurta in ethnic style for daily wear budget friendly,ethnic,daily_wear,low
need a boho jacket suitable for beach and under 7000,boho,beach,mid
recommend streetwear outfit for gym in white designer,streetwear,gym,high
need a minimal dress suitable for wedding and around 6000,minimal,wedding,mid
recommend athleisure outfit for office in green cheap,athleisure,office,low
recommend minimal outfit for date night in blue under 7000,minimal,date_night,mid
show me navy dress in formal style for daily wear below 2500,formal,daily_wear,low
"looking for smart casual wear for beach, quality for price",smart_casual,beach,mid
find red dress for daily wear with a high budget and streetwear look,streetwear,daily_wear,high
find black kurta for travel with a low budget and ethnic look,ethnic,travel,low
need a minimal kurta suitable for beach and quality for price,minimal,beach,mid
find beige blazer for office with a low budget and athleisure look,athleisure,office,low
find green blazer for wedding with a mid budget and athleisure look,athleisure,wedding,mid
find black blazer for date night with a mid budget and athleisure look,athleisure,date_night,mid
need a streetwear shirt suitable for wedding and mid range,streetwear,wedding,mid
need a athleisure blazer suitable for daily wear and around 6000,athleisure,daily_wear,mid
recommend athleisure outfit for daily wear in pink premium,athleisure,daily_wear,high
need a athleisure dress suitable for party and budget friendly,athleisure,party,low
need a minimal dress suitable for office and quality for price,minimal,office,mid
show me pink jacket in athleisure style for beach mid range,athleisure,beach,mid
show me pink heels in ethnic style for party under 15000,ethnic,party,high
need a smart casual heels suitable for daily wear and mid range,smart_casual,daily_wear,mid
recommend athleisure outfit for beach in red high end,athleisure,beach,high
find pink jeans for wedding with a mid budget and boho look,boho,wedding,mid
find blue blazer for wedding with a low budget and streetwear look,streetwear,wedding,low
find beige jacket for beach with a low budget and formal look,formal,beach,low
recommend formal outfit for daily wear in blue under 3000,formal,daily_wear,low
find green sneakers for gym with a low budget and boho look,boho,gym,low
"looking for streetwear wear for office, quality for price",streetwear,office,mid
need a casual blazer suitable for party and premium,casual,party,high
recommend athleisure outfit for office in blue cheap,athleisure,office,low
find black saree for beach with a low budget and smart casual look,smart_casual,beach,low
find pink shirt for office with a low budget and smart casual look,smart_casual,office,low
"looking for casual wear for gym, designer",casual,gym,high
recommend streetwear outfit for party in navy below 2500,streetwear,party,low
need a minimal jeans suitable for date night and under 15000,minimal,date_night,high
"looking for minimal wear for daily wear, around 6000",minimal,daily_wear,mid
recommend casual outfit for date night in black around 6000,casual,date_night,mid
find red jeans for beach with a high budget and ethnic look,ethnic,beach,high
"looking for boho wear for daily wear, below 2500",boho,daily_wear,low
"looking for formal wear for date night, budget friendly",formal,date_night,low
find pink saree for office with a low budget and athleisure look,athleisure,office,low
need a ethnic blazer suitable for wedding and mid range,ethnic,wedding,mid
show me black heels in smart casual style for travel under 15000,smart_casual,travel,high
find navy saree for travel with a low budget and athleisure look,athleisure,travel,low
"looking for casual wear for wedding, under 3000",casual,wedding,low
recommend boho outfit for office in white budget friendly,boho,office,low
need a streetwear sneakers suitable for office and around 6000,streetwear,office,mid
show me red jeans in boho style for gym below 2500,boho,gym,low
recommend boho outfit for party in black around 6000,boho,party,mid
recommend ethnic outfit for gym in red budget friendly,ethnic,gym,low
"looking for ethnic wear for office, below 2500",ethnic,office,low
find green blazer for party with a low budget and streetwear look,streetwear,party,low
"looking for boho wear for date night, budget friendly",boho,date_night,low
need a streetwear sneakers suitable for beach and under 3000,streetwear,beach,low
show me beige saree in casual style for daily wear around 6000,casual,daily_wear,mid
show me pink jacket in formal style for wedding below 2500,formal,wedding,low
show me green heels in smart casual style for daily wear around 6000,smart_casual,daily_wear,mid
need a casual sneakers suitable for date night and affordable,casual,date_night,low
find blue shirt for gym with a high budget and smart casual look,smart_casual,gym,high
recommend smart casual outfit for beach in white under 15000,smart_casual,beach,high
recommend streetwear outfit for date night in green cheap,streetwear,date_night,low
show me white saree in boho style for date night around 6000,boho,date_night,mid
"looking for athleisure wear for beach, under 7000",athleisure,beach,mid
need a boho blazer suitable for travel and under 7000,boho,travel,mid
recommend boho outfit for beach in red budget friendly,boho,beach,low
show me red sneakers in casual style for gym below 2500,casual,gym,low
"looking for formal wear for travel, cheap",formal,travel,low
recommend smart casual outfit for wedding in blue mid range,smart_casual,wedding,mid
recommend boho outfit for wedding in red budget friendly,boho,wedding,low
find green dress for wedding with a high budget and formal look,formal,wedding,high
need a smart casual jacket suitable for office and around 6000,smart_casual,office,mid
show me pink kurta in streetwear style for wedding designer,streetwear,wedding,high
recommend ethnic outfit for office in navy affordable,ethnic,office,low
recommend athleisure outfit for travel in beige affordable,athleisure,travel,low
find navy saree for wedding with a mid budget and streetwear look,streetwear,wedding,mid
find green kurta for office with a high budget and boho look,boho,office,high
recommend boho outfit for wedding in red mid range,boho,wedding,mid
need a formal kurta suitable for date night and below 2500,formal,date_night,low
find blue kurta for office with a low budget and ethnic look,ethnic,office,low
"looking for boho wear for travel, around 6000",boho,travel,mid
need a minimal dress suitable for wedding and luxury,minimal,wedding,high
show me blue sneakers in streetwear style for travel affordable,streetwear,travel,low
need a casual blazer suitable for date night and under 7000,casual,date_night,mid
"looking for athleisure wear for date night, under 3000",athleisure,date_night,low
recommend ethnic outfit for date night in white cheap,ethnic,date_night,low
show me white jeans in casual style for office premium,casual,office,high
need a streetwear jeans suitable for party and around 6000,streetwear,party,mid
show me red shirt in minimal style for daily wear cheap,minimal,daily_wear,low
find blue kurta for date night with a low budget and casual look,casual,date_night,low
find pink sneakers for gym with a mid budget and casual look,casual,gym,mid
need a casual blazer suitable for daily wear and mid range,casual,daily_wear,mid
need a ethnic heels suitable for office and cheap,ethnic,office,low
need a streetwear shirt suitable for travel and quality for price,streetwear,travel,mid
show me pink jeans in streetwear style for beach under 3000,streetwear,beach,low
need a minimal shirt suitable for travel and designer,minimal,travel,high
show me green heels in streetwear style for beach mid range,streetwear,beach,mid
"looking for streetwear wear for daily wear, cheap",streetwear,daily_wear,low
recommend ethnic outfit for daily wear in pink around 6000,ethnic,daily_wear,mid
show me green dress in minimal style for wedding under 15000,minimal,wedding,high
show me navy shirt in smart casual style for gym under 7000,smart_casual,gym,mid
need a smart casual sneakers suitable for party and under 3000,smart_casual,party,low
show me green sneakers in minimal style for party mid range,minimal,party,mid
recommend smart casual outfit for wedding in beige cheap,smart_casual,wedding,low
show me navy sneakers in streetwear style for date night high end,streetwear,date_night,high
find beige kurta for gym with a mid budget and boho look,boho,gym,mid
need a boho dress suitable for date night and under 15000,boho,date_night,high
show me white sneakers in streetwear style for date night premium,streetwear,date_night,high
recommend ethnic outfit for party in beige under 15000,ethnic,party,high
"looking for boho wear for beach, mid range",boho,beach,mid
show me navy jeans in casual style for office high end,casual,office,high
show me navy sneakers in minimal style for date night cheap,minimal,date_night,low
need a minimal kurta suitable for party and mid range,minimal,party,mid
recommend smart casual outfit for office in white quality for price,smart_casual,office,mid
need a athleisure jacket suitable for travel and quality for price,athleisure,travel,mid
"looking for athleisure wear for beach, mid range",athleisure,beach,mid
"looking for casual wear for office, below 2500",casual,office,low
find beige sneakers for office with a high budget and formal look,formal,office,high
find beige jeans for office with a mid budget and athleisure look,athleisure,office,mid
recommend casual outfit for gym in red cheap,casual,gym,low
find pink dress for party with a low budget and athleisure look,athleisure,party,low
need a streetwear jacket suitable for office and around 6000,streetwear,office,mid
"looking for boho wear for date night, under 7000",boho,date_night,mid
need a casual kurta suitable for daily wear and designer,casual,daily_wear,high
need a ethnic jacket suitable for office and quality for price,ethnic,office,mid
show me navy kurta in minimal style for wedding under 15000,minimal,wedding,high
show me blue sneakers in ethnic style for gym below 2500,ethnic,gym,low
"looking for smart casual wear for office, under 7000",smart_casual,office,mid
need a athleisure saree suitable for daily wear and below 2500,athleisure,daily_wear,low
need a casual blazer suitable for beach and quality for price,casual,beach,mid
show me blue kurta in boho style for beach under 15000,boho,beach,high
find red heels for date night with a high budget and boho look,boho,date_night,high
"looking for formal wear for daily wear, designer",formal,daily_wear,high
need a minimal sneakers suitable for wedding and under 7000,minimal,wedding,mid
"looking for streetwear wear for beach, designer",streetwear,beach,high
show me pink heels in casual style for beach quality for price,casual,beach,mid
show me navy heels in athleisure style for wedding below 2500,athleisure,wedding,low
need a ethnic kurta suitable for travel and designer,ethnic,travel,high
"looking for minimal wear for party, cheap",minimal,party,low
find black kurta for date night with a mid budget and formal look,formal,date_night,mid
"looking for minimal wear for party, high end",minimal,party,high
recommend casual outfit for beach in blue under 7000,casual,beach,mid
show me white dress in casual style for party quality for price,casual,party,mid
show me black sneakers in boho style for date night under 15000,boho,date_night,high
show me black kurta in streetwear style for office high end,streetwear,office,high
"looking for smart casual wear for wedding, quality for price",smart_casual,wedding,mid
show me beige kurta in boho style for travel under 7000,boho,travel,mid
need a smart casual kurta suitable for wedding and high end,smart_casual,wedding,high
show me pink shirt in smart casual style for travel affordable,smart_casual,travel,low
find white saree for beach with a high budget and athleisure look,athleisure,beach,high
need a athleisure dress suitable for date night and affordable,athleisure,date_night,low
need a casual shirt suitable for party and premium,casual,party,high
need a athleisure sneakers suitable for party and designer,athleisure,party,high
"looking for ethnic wear for date night, designer",ethnic,date_night,high
need a smart casual blazer suitable for office and budget friendly,smart_casual,office,low
"looking for minimal wear for wedding, under 15000",minimal,wedding,high
need a casual jeans suitable for beach and budget friendly,casual,beach,low
show me navy sneakers in casual style for wedding under 15000,casual,wedding,high
recommend streetwear outfit for date night in black luxury,streetwear,date_night,high
recommend streetwear outfit for date night in green under 7000,streetwear,date_night,mid
show me green saree in ethnic style for party high end,ethnic,party,high
recommend smart casual outfit for gym in red quality for price,smart_casual,gym,mid
"looking for boho wear for beach, around 6000",boho,beach,mid
need a ethnic saree suitable for travel and luxury,ethnic,travel,high
find pink dress for party with a mid budget and boho look,boho,party,mid
"looking for athleisure wear for travel, designer",athleisure,travel,high
recommend minimal outfit for daily wear in blue premium,minimal,daily_wear,high
"looking for boho wear for date night, affordable",boho,date_night,low
find pink saree for office with a mid budget and boho look,boho,office,mid
"looking for athleisure wear for wedding, affordable",athleisure,wedding,low
"looking for boho wear for party, cheap",boho,party,low
show me beige blazer in smart casual style for daily wear quality for price,smart_casual,daily_wear,mid
"looking for minimal wear for beach, under 3000",minimal,beach,low
"looking for minimal wear for party, affordable",minimal,party,low
show me pink blazer in streetwear style for beach under 3000,streetwear,beach,low
find black sneakers for beach with a mid budget and casual look,casual,beach,mid
"looking for boho wear for beach, mid range",boho,beach,mid
"looking for formal wear for party, around 6000",formal,party,mid
show me navy kurta in smart casual style for gym below 2500,smart_casual,gym,low
need a athleisure saree suitable for gym and luxury,athleisure,gym,high
need a minimal blazer suitable for office and around 6000,minimal,office,mid
"looking for ethnic wear for party, cheap",ethnic,party,low
"looking for formal wear for travel, high end",formal,travel,high
show me blue kurta in casual style for gym under 7000,casual,gym,mid
find navy dress for gym with a low budget and smart casual look,smart_casual,gym,low
need a athleisure saree suitable for beach and under 15000,athleisure,beach,high
recommend minimal outfit for office in green quality for price,minimal,office,mid
find white jeans for wedding with a mid budget and formal look,formal,wedding,mid
find black dress for date night with a low budget and ethnic look,ethnic,date_night,low
recommend smart casual outfit for party in white under 15000,smart_casual,party,high
need a casual shirt suitable for party and under 7000,casual,party,mid
need a ethnic jeans suitable for beach and luxury,ethnic,beach,high
recommend smart casual outfit for office in blue budget friendly,smart_casual,office,low
find black kurta for daily wear with a mid budget and minimal look,minimal,daily_wear,mid
need a athleisure kurta suitable for office and around 6000,athleisure,office,mid
show me pink jacket in ethnic style for beach budget friendly,ethnic,beach,low
find beige dress for daily wear with a high budget and formal look,formal,daily_wear,high
recommend streetwear outfit for wedding in white designer,streetwear,wedding,high
"looking for athleisure wear for party, mid range",athleisure,party,mid
recommend casual outfit for gym in white under 7000,casual,gym,mid
"looking for smart casual wear for travel, around 6000",smart_casual,travel,mid
show me navy jacket in formal style for date night under 3000,formal,date_night,low
recommend minimal outfit for office in black designer,minimal,office,high
"looking for minimal wear for beach, luxury",minimal,beach,high
"looking for boho wear for wedding, below 2500",boho,wedding,low
recommend athleisure outfit for date night in red affordable,athleisure,date_night,low
"looking for athleisure wear for travel, high end",athleisure,travel,high
show me blue heels in casual style for wedding mid range,casual,wedding,mid
need a athleisure saree suitable for travel and luxury,athleisure,travel,high
"looking for ethnic wear for date night, below 2500",ethnic,date_night,low
find black dress for travel with a mid budget and smart casual look,smart_casual,travel,mid
"looking for casual wear for daily wear, under 3000",casual,daily_wear,low
need a formal shirt suitable for travel and below 2500,formal,travel,low
recommend athleisure outfit for date night in beige affordable,athleisure,date_night,low
need a ethnic blazer suitable for office and around 6000,ethnic,office,mid
find black saree for beach with a high budget and formal look,formal,beach,high
find red heels for wedding with a low budget and boho look,boho,wedding,low
recommend casual outfit for daily wear in beige mid range,casual,daily_wear,mid
find red blazer for office with a high budget and smart casual look,smart_casual,office,high
"looking for formal wear for travel, around 6000",formal,travel,mid
find pink saree for date night with a mid budget and minimal look,minimal,date_night,mid
need a boho saree suitable for party and mid range,boho,party,mid
recommend casual outfit for wedding in white high end,casual,wedding,high
need a casual jacket suitable for wedding and under 7000,casual,wedding,mid
need a athleisure heels suitable for date night and cheap,athleisure,date_night,low
recommend casual outfit for date night in pink under 7000,casual,date_night,mid
recommend casual outfit for wedding in white under 15000,casual,wedding,high
show me black jeans in casual style for beach affordable,casual,beach,low
recommend boho outfit for office in black luxury,boho,office,high
need a boho sneakers suitable for office and luxury,boho,office,high
show me beige jacket in smart casual style for gym luxury,smart_casual,gym,high
need a boho dress suitable for date night and under 3000,boho,date_night,low
recommend smart casual outfit for gym in beige mid range,smart_casual,gym,mid
recommend boho outfit for office in green mid range,boho,office,mid
show me black kurta in streetwear style for beach affordable,streetwear,beach,low
recommend athleisure outfit for gym in red designer,athleisure,gym,high
need a ethnic blazer suitable for date night and mid range,ethnic,date_night,mid
find black jacket for daily wear with a high budget and formal look,formal,daily_wear,high
need a athleisure saree suitable for office and cheap,athleisure,office,low
find black jacket for date night with a low budget and minimal look,minimal,date_night,low
recommend boho outfit for date night in blue around 6000,boho,date_night,mid
recommend formal outfit for gym in black premium,formal,gym,high
find red jacket for office with a low budget and streetwear look,streetwear,office,low
"looking for smart casual wear for beach, mid range",smart_casual,beach,mid
recommend smart casual outfit for office in blue mid range,smart_casual,office,mid
"looking for formal wear for party, cheap",formal,party,low
need a minimal saree suitable for office and designer,minimal,office,high
find black jacket for gym with a high budget and formal look,formal,gym,high
recommend formal outfit for beach in pink under 15000,formal,beach,high
"looking for athleisure wear for party, under 7000",athleisure,party,mid
find green jacket for party with a mid budget and streetwear look,streetwear,party,mid
need a casual jacket suitable for gym and luxury,casual,gym,high
show me green shirt in smart casual style for daily wear luxury,smart_casual,daily_wear,high
find beige dress for wedding with a low budget and formal look,formal,wedding,low
need a streetwear blazer suitable for party and below 2500,streetwear,party,low
"looking for streetwear wear for date night, around 6000",streetwear,date_night,mid
find pink blazer for gym with a low budget and boho look,boho,gym,low
"looking for boho wear for travel, below 2500",boho,travel,low
show me beige kurta in boho style for party luxury,boho,party,high
show me black blazer in boho style for party high end,boho,party,high
need a minimal saree suitable for office and below 2500,minimal,office,low
show me green jeans in minimal style for travel cheap,minimal,travel,low
show me beige jacket in boho style for office designer,boho,office,high
show me blue heels in ethnic style for travel under 15000,ethnic,travel,high
show me red shirt in smart casual style for gym around 6000,smart_casual,gym,mid
need a casual saree suitable for office and luxury,casual,office,high
find blue blazer for wedding with a mid budget and boho look,boho,wedding,mid
"looking for smart casual wear for daily wear, cheap",smart_casual,daily_wear,low
find navy sneakers for date night with a mid budget and casual look,casual,date_night,mid
find black heels for party with a high budget and casual look,casual,party,high
"looking for casual wear for gym, high end",casual,gym,high
find white sneakers for wedding with a high budget and minimal look,minimal,wedding,high
find green jacket for office with a low budget and minimal look,minimal,office,low
